Fecha,TC_Oficial_BCRP,RIN_Reservas
2016-11-16,3.41642857142857,61368.09291447
2016-11-21,3.41671428571429,61215.5498986
2016-11-22,3.41957142857143,61385.69640911
2016-11-23,3.42742857142857,61596.01973498
2016-11-24,3.41957142857143,61592.99282021
2016-11-25,3.41728571428571,61316.00725548
2016-11-28,3.41671428571429,61425.84448722
2016-11-29,3.42242857142857,61395.20882799
2016-11-30,3.41271428571429,61363.6704727
2016-12-01,3.41785714285714,61337.59295764
2016-12-02,3.41471428571429,61465.99255975
2016-12-05,3.42042857142857,61253.93372079
2016-12-06,3.41685714285714,61229.03160331
2016-12-07,3.40828571428571,61165.40554267
2016-12-09,3.40314285714286,61109.04797152
2016-12-12,3.40428571428571,61407.79800597
2016-12-13,3.39957142857143,61925.34113866
2016-12-14,3.39442857142857,62123.15936653
2016-12-15,3.40685714285714,61991.97266227
2016-12-16,3.40342857142857,61629.73605805
2016-12-19,3.40728571428571,61611.50765245
2016-12-20,3.40357142857143,61817.41467083
2016-12-21,3.397,62010.41206286
2016-12-22,3.39942857142857,62156.68381138
2016-12-23,3.386,62054.95752472
2016-12-26,3.39371428571429,62051.72406352
2016-12-27,3.38328571428571,61840.38823662
2016-12-28,3.36457142857143,61756.55331422
2016-12-29,3.35657142857143,61895.69492438
2016-12-30,3.35728571428571,61685.54143357
2017-01-02,3.36342857142857,61684.87953484
2017-01-03,3.37857142857143,61851.87076426
2017-01-04,3.38928571428572,62012.31768806
2017-01-05,3.37142857142857,62122.14283981
2017-01-06,3.375,62207.98652937
2017-01-09,3.38485714285714,62356.39069869
2017-01-10,3.39,62329.63787568
2017-01-11,3.39071428571429,62701.97572527
2017-01-12,3.36542857142857,62687.83817257
2017-01-13,3.36585714285714,62177.06881627
2017-01-16,3.37071428571429,62177.44124648
2017-01-17,3.35228571428571,62199.26726241
2017-01-18,3.349,62175.56434173
2017-01-19,3.33371428571429,62268.55495339
2017-01-20,3.30571428571429,62242.40465061
2017-01-23,3.28914285714286,62343.01849068
2017-01-24,3.28428571428571,62545.43314381
2017-01-25,3.282,62470.79805316
2017-01-26,3.30328571428571,62569.71635668
2017-01-27,3.29228571428571,62635.320624
2017-01-30,3.29028571428571,62569.81227687
2017-01-31,3.28342857142857,62572.24325874
2017-02-01,3.27085714285714,62371.10359527
2017-02-02,3.25871428571429,62458.09105628
2017-02-03,3.25071428571429,62368.27245666
2017-02-06,3.27857142857143,62408.71675949
2017-02-07,3.29442857142857,62164.44885433
2017-02-08,3.28928571428571,62174.07831678
2017-02-09,3.27442857142857,62190.48443233
2017-02-10,3.25971428571429,62149.24382086
2017-02-13,3.26528571428571,62091.90962088
2017-02-14,3.26228571428571,62271.82448938
2017-02-15,3.25471428571429,62350.93258585
2017-02-16,3.24857142857143,62506.3278599
2017-02-17,3.26328571428571,62413.95634632
2017-02-20,3.25428571428571,62417.44833787
2017-02-21,3.25114285714286,62485.22774437
2017-02-22,3.24357142857143,62399.58775309
2017-02-23,3.24185714285714,62454.21845316
2017-02-24,3.25271428571429,62402.82970942
2017-02-27,3.25328571428571,62383.13769168
2017-02-28,3.26214285714286,62290.97916697
